lower,d13C_ind,stdev_ind,d13C_pac,stdev_pac,d13C_atl,stdev_atl,d13C,stdev
118.0,0.14250000000000002,0.0,-0.15230155210643015,,0.4925097892695066,,0.05494738342987127,
119.0,0.05660714285714286,0.0,-0.02837161862527717,0.01168561,0.5405503159795978,0.03786633558210952,0.12138379985070642,0.015629139025680912
120.0,0.04696428571428572,0.0,0.03962931756590295,0.0038343616049382706,0.582211724003611,0.03468447245038765,0.1685191490735644,0.010359182649678784
121.0,0.009821428571428578,0.0,0.04677571622144793,0.006868693161415029,0.6511701741093737,0.041104932455371945,0.18181958043495428,0.01361569372616426
122.0,0.05517857142857143,0.0,0.017747844296624807,0.018852815586419762,0.6113312699666552,0.035609908785685304,0.1643111877689284,0.019227130327000522
123.0,0.015535714285714305,0.0,0.02231533998521803,0.013301201117361106,0.5690881720334148,0.03284450517298423,0.14952200217339381,0.01537960492434094
124.0,0.06589285714285714,0.0,0.025147082614765573,0.015765708883959187,0.526311248089153,0.042023820114326864,0.15061908909936944,0.018956216612645897
125.0,-0.21625,0.0,0.005523957050176567,0.0179246229786094,0.48821631970752966,0.03887098423622441,0.07703461999465527,0.01945883277499123
126.0,-0.305,0.0,-0.032810427445183525,0.0262786614371142,0.47902782664824106,0.043404695197903215,0.03601994549872105,0.02533606669802388
127.0,-0.32833333333333337,0.0,-0.08052694629219019,0.02602060244261189,0.452152657773386,0.035407129651297393,-0.0021901622998826225,0.023308050520378907
128.0,-0.29000000000000004,0.0,-0.12809797158577643,0.012260435721021945,0.36849227812545743,0.08785306050545841,-0.04200460537688508,0.027706793924885374
129.0,-0.345,0.0,-0.14995033259423504,0.0018147600000000001,0.24001155627264495,0.09504233548854535,-0.09517940440080887,0.023379625146733515
